Name,Location,City,P.O Box,Phone,Company Page Link,Logo URL
Golden Spoon Vegetarian Restaurant,"Madinat Zayed, Abu Dhabi",Abu Dhabi,43750,02-6337155,https://www.yellowpages-uae.com/golden-spoon-vegetarian-restaurant-115413.html,https://media.yellowpages-uae.com/images/placeholder.png
Golestan Restaurant,"Deira, Dubai",Dubai,65653,04-2828007,https://www.yellowpages-uae.com/golestan-restaurant-114452.html,https://media.yellowpages-uae.com/images/placeholder.png
Govindas Garden Restaurant LLC,"Beach Road, Jumeirah, Dubai",Dubai,30985,04-3211884,https://www.yellowpages-uae.com/govindas-garden-restaurant-llc-175558.html,https://media.yellowpages-uae.com/images/placeholder.png
Govindas Restaurant (LLC),"Karama, Dubai",Dubai,30985,04-3960088,https://www.yellowpages-uae.com/govindas-restaurant-llc--149530.html,https://media.yellowpages-uae.com/images/placeholder.png
Grand Abu Shakra Rest and Cafe,"Al Maktoum St, Deira, Dubai",Dubai,119943,04-2229900,https://www.yellowpages-uae.com/grand-abu-shakra-rest-and-cafe-131182.html,https://media.yellowpages-uae.com/images/placeholder.png
"Grand Buffet Restaurant, The","Al Wahda St, Sharjah",Sharjah,4561,06-5328000,https://www.yellowpages-uae.com/grand-buffet-restaurant-the-130225.html,https://media.yellowpages-uae.com/images/placeholder.png
Grand Cafe Boulevard,"Downtown, Dubai",Dubai,,04-4579944,https://www.yellowpages-uae.com/grand-cafe-boulevard-167769.html,https://media.yellowpages-uae.com/images/placeholder.png
Rainbow Steak House,"Mussafah, Abu Dhabi",Abu Dhabi,,02-5526606,https://www.yellowpages-uae.com/rainbow-steak-house-147722.html,https://media.yellowpages-uae.com/images/placeholder.png
Bangkok Town Thai Restaurant,"Bhnd Al Massa Cinema, Buhairah Corniche, Sharjah",Sharjah,38616,06-5568282,https://www.yellowpages-uae.com/sharjah-bangkok-town-thai-restaurant-122677.html,https://media.yellowpages-uae.com/images/placeholder.png
Rainbow Steak House and Catering Services Company LLC,"M 40, Musaffah, Abu Dhabi",Abu Dhabi,46663,02-6333434,https://www.yellowpages-uae.com/rainbow-steak-house-and-catering-services-company-llc-116168.html,https://media.yellowpages-uae.com/images/placeholder.png
Banglore Empire Restaurant LLC,"Al Qusais, Dubai",Dubai,,04-2611433,https://www.yellowpages-uae.com/banglore-empire-restaurant-llc-68515.html,https://media.yellowpages-uae.com/images/placeholder.png
Barasti,"Le Meridian, Mina Seyahi, Dubai",Dubai,,04-3993333,https://www.yellowpages-uae.com/barasti-175797.html,https://media.yellowpages-uae.com/images/placeholder.png
Barbar Neirut Restaurant & Cafe,"Rigga, Dubai",Dubai,,04-2999990,https://www.yellowpages-uae.com/barbar-neirut-restaurant-cafe-175340.html,https://media.yellowpages-uae.com/images/placeholder.png
Barca Club,"Palm Jumeirah, Dubai",Dubai,,04-4393548,https://www.yellowpages-uae.com/barca-club-152058.html,https://media.yellowpages-uae.com/images/placeholder.png
Bareburger,"Festival City, Dubai",Dubai,,04-3387110,https://www.yellowpages-uae.com/bareburger-175744.html,https://media.yellowpages-uae.com/images/placeholder.png
Barouk Restaurant,"Yas Island, Abu Dhabi",Abu Dhabi,,02-6563000,https://www.yellowpages-uae.com/barouk-restaurant-175673.html,https://media.yellowpages-uae.com/images/placeholder.png
Barracuda Restaurant,"Beach Rd, Jumeirah 3, Dubai",Dubai,,04-3940408,https://www.yellowpages-uae.com/barracuda-restaurant-147107.html,https://media.yellowpages-uae.com/images/placeholder.png
Barzat Tea Time Cafeteria,"Behind Adnoc Main Building, Salam Street, Abu Dhabi",Abu Dhabi,,02-6261415,https://www.yellowpages-uae.com/barzat-tea-time-cafeteria-175525.html,https://media.yellowpages-uae.com/images/placeholder.png
Bateaux Dubai,"Jumeirah, Dubai",Dubai,26500,04-3994994,https://www.yellowpages-uae.com/bateaux-dubai-149388.html,https://media.yellowpages-uae.com/images/placeholder.png
Bawabat Demashq Restaurant,"Al Muraqabat St, Dubai",Dubai,,600 544745,https://www.yellowpages-uae.com/bawabat-demashq-restaurant-175333.html,https://media.yellowpages-uae.com/images/placeholder.png
Bay Leaf (Indian Cuisine),"Bhnd Lulu, Al Barsha, Dubai",Dubai,38404,04-3235265,https://www.yellowpages-uae.com/bay-leaf-indian-cuisine--125437.html,https://media.yellowpages-uae.com/images/placeholder.png
Bay Leaf Indian Coastal Cuisine,"Opp Lamcy Plaza, Oud Metha, Dubai",Dubai,,04-3583962,https://www.yellowpages-uae.com/bay-leaf-indian-coastal-cuisine-67654.html,https://media.yellowpages-uae.com/images/placeholder.png
Bazerkan Lebanese Restaurant,,,,04-3397750,https://www.yellowpages-uae.com/bazerkan-lebanese-restaurant-145637.html,https://media.yellowpages-uae.com/images/placeholder.png
Bazxar,"DIFC, Dubai",Dubai,,04-3551111,https://www.yellowpages-uae.com/bazxar-175798.html,https://media.yellowpages-uae.com/images/placeholder.png
BBQ Al Qasr,"Emirates Palace, Al Ras Al Akhdar, Abu Dhabi",Abu Dhabi,,02-6907999,https://www.yellowpages-uae.com/bbq-al-qasr-175733.html,https://media.yellowpages-uae.com/images/placeholder.png
BBQ Tonight,"Satwa, Dubai",Dubai,,04-3425272,https://www.yellowpages-uae.com/bbq-tonight-175745.html,https://media.yellowpages-uae.com/images/placeholder.png
Beach House Restaurant,"Saadiyat Island, Abu Dhabi",Abu Dhabi,,02-4071234,https://www.yellowpages-uae.com/beach-house-restaurant-175674.html,https://media.yellowpages-uae.com/images/placeholder.png
Beauty Restaurant,"Bidiya Area, Dibba",Dibba,18128,09-2388563,https://www.yellowpages-uae.com/beauty-restaurant-21840.html,https://media.yellowpages-uae.com/images/placeholder.png
Beijing Chinese Restaurant,"Near Al Mamzar Centre, Abu Hail, Dubai",Dubai,24365,04-3437674,https://www.yellowpages-uae.com/beijing-chinese-restaurant-175319.html,https://media.yellowpages-uae.com/images/placeholder.png
Rainbow Steak House Restaurant,"Al Qasimia St, Sharjah",Sharjah,,06-5723505,https://www.yellowpages-uae.com/rainbow-steak-house-restaurant-147201.html,https://media.yellowpages-uae.com/images/placeholder.png
Rashed Al Katheeri Mandi Restaurant,"Beside Zulekha Hospital, Zahara St, Al Nasryah, Sharjah",Sharjah,,06-5654051,https://www.yellowpages-uae.com/rashed-al-katheeri-mandi-restaurant-109068.html,https://media.yellowpages-uae.com/images/placeholder.png
Rawabina Restaurant,"Al Garhoud, Dubai",Dubai,28629,04-2981447,https://www.yellowpages-uae.com/rawabina-restaurant-175559.html,https://media.yellowpages-uae.com/images/placeholder.png
Rawal Restaurant,"Hor Al Anz, Dubai",Dubai,11201,04-2979144,https://www.yellowpages-uae.com/rawal-restaurant-118125.html,https://media.yellowpages-uae.com/images/placeholder.png
Rays Grill,"Jumeirah Al Etihad Towers, Al Khubeirah, Abu Dhabi",Abu Dhabi,,02-8115666,https://www.yellowpages-uae.com/rays-grill-175716.html,https://media.yellowpages-uae.com/images/placeholder.png
Real Taste Cafeteria,"Near Emirates Plaza Hotel, TCA, Abu Dhabi",Abu Dhabi,,02-6411007,https://www.yellowpages-uae.com/real-taste-cafeteria-175549.html,https://media.yellowpages-uae.com/images/placeholder.png
Red Roaster,"27-28, Salem Shk Bldg, Satwa, Dubai",Dubai,,04-3855999,https://www.yellowpages-uae.com/red-roaster-175341.html,https://media.yellowpages-uae.com/images/placeholder.png
Red Table Iranian Restaurant,"Khalfan Bin Jamber building, Al Muteena Street, Deira, Dubai",Dubai,16449,04-2729131,https://www.yellowpages-uae.com/red-table-restaurant-35716.html,https://media.yellowpages-uae.com/images/placeholder.png
Red Tomato Pizza Restaurant LLC,"Al Barsha, Dubai",Dubai,450103,04-4470497,https://www.yellowpages-uae.com/red-tomato-pizza-restaurant-llc-147686.html,https://media.yellowpages-uae.com/images/placeholder.png
Reef Deira Cafeteria & Restaurant,"Al Muteena, Dubai",Dubai,56277,04-2710103,https://www.yellowpages-uae.com/reef-deira-cafeteria-restaurant-175218.html,https://media.yellowpages-uae.com/images/placeholder.png
Reef Demashq Restaurant,"Al Twar , Qusais, Dubai",Dubai,55505,04-2616336,https://www.yellowpages-uae.com/reef-demashq-restaurant-68532.html,https://media.yellowpages-uae.com/images/placeholder.png
Relax @ 12,"Al Arabi Street, Abu Dhabi",Abu Dhabi,,02-6545000,https://www.yellowpages-uae.com/relax-12-175661.html,https://media.yellowpages-uae.com/images/placeholder.png
Retail & Beyond Commercial Investment LLC,"Business Bay, Dubai",Dubai,9623,04-3699775,https://www.yellowpages-uae.com/retail-beyond-commercial-investment-llc-151382.html,https://media.yellowpages-uae.com/images/placeholder.png
Rez Bhaleeb Restaurant,"Behind ADCB Bank, Electra Street, Abu Dhabi",Abu Dhabi,105671,02-6660178,https://www.yellowpages-uae.com/rez-bhaleeb-restaurant-175526.html,https://media.yellowpages-uae.com/images/placeholder.png
Rhythm N Bites,"Oud Metha, Dubai",Dubai,126624,04-3583368,https://www.yellowpages-uae.com/rhythm-n-bites-140895.html,https://media.yellowpages-uae.com/images/placeholder.png
Rice Overdose,"Salama St, Abu Dhabi",Abu Dhabi,,02-6220068,https://www.yellowpages-uae.com/rice-overdose-175504.html,https://media.yellowpages-uae.com/images/placeholder.png
Rihan Restaurant,"Al Qusais 2, Dubai",Dubai,,04-2592992,https://www.yellowpages-uae.com/rihan-restaurant-103520.html,https://media.yellowpages-uae.com/images/placeholder.png
Rimal Bar,"Bani Yas, Abu Dhabi",Abu Dhabi,,02-6596666,https://www.yellowpages-uae.com/rimal-bar-147578.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Irshad Restaurant,"Khabisi Area, Al Ain",Al Ain,67394,03-7620492,https://www.yellowpages-uae.com/al-irshad-restaurant-129163.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Ishbaa Restaurant,"Near Mussalla Park, Sharjah",Sharjah,,06-5620410,https://www.yellowpages-uae.com/al-ishbaa-restaurant-144273.html,https://media.yellowpages-uae.com/images/placeholder.png
"Al Islami Foods Co, ( Al Farooj Head Office)",,,,,https://www.yellowpages-uae.com/al-islami-foods-co-al-farooj-head-office--146310.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Joory Hyderabadi Restaurant,"Near Old Honda S/R, Abu Shagara, Sharjah",Sharjah,,06-5447373,https://www.yellowpages-uae.com/al-joory-hyderabadi-restaurant-175363.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Kabab Al Afghani Al Jadeed Restaurant,"Opp Sadaf Rest, Al Marija St, Mena Rd, Sharjah",Sharjah,,06-0522554,https://www.yellowpages-uae.com/al-kabab-al-afghani-al-jadeed-restaurant-147102.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Kabab Al Laziz Afghani Rest LLC,"Near Zulekha Hospital, Al Zahra St, Nasiriya, Sharjah",Sharjah,,06-5656127,https://www.yellowpages-uae.com/al-kabab-al-laziz-afghani-rest-llc-148016.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Karnak,"Al Diyafa, Dubai",Dubai,,04-3980123,https://www.yellowpages-uae.com/al-karnak-103610.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Khaial Cafeteria & Restaurant,"Al Mamzar Building, Bhnd Public Library, Dubai",Dubai,,04-2628781,https://www.yellowpages-uae.com/al-khaial-cafeteria-restaurant-172954.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Khaja Group,,,,04-3808787,https://www.yellowpages-uae.com/al-khaja-group-152652.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Khaja Hospitality,"Deira, Dubai",Dubai,5060,04-2973000,https://www.yellowpages-uae.com/al-khaja-hospitality-113662.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Khaleej Al Arabi Pastry,,,,06-5368950,https://www.yellowpages-uae.com/al-khaleej-al-arabi-pastry-175234.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Khaleej Al Latheethah Pastry,"Al Buhaira, Sharjah",Sharjah,,06-5564443,https://www.yellowpages-uae.com/al-khaleej-al-latheethah-pastry-145530.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Khiyma Restaurant,"Near Sahara Centre, Al Nahda St, Sharjah",Sharjah,21107,06-5314858,https://www.yellowpages-uae.com/al-khiyma-restaurant-136501.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Khoor Restaurant,"Bhnd Old Sharjah Cinema, Rolla, Sharjah",Sharjah,20164,06-5681059,https://www.yellowpages-uae.com/al-khoor-restaurant-129363.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Kurup Restaurant,"Near Taxi Station, Industrial Area, Umm Al Quwain",Umm Al Quwain,387,06-7664386,https://www.yellowpages-uae.com/al-kurup-restaurant-45183.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Maharah Restaurant,"Opp Al Majaz Park, Al Wahda St, Sharjah",Sharjah,23935,06-5599554,https://www.yellowpages-uae.com/al-maharah-restaurant-106286.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Majas Restaurant LLC,"Bur Dubai, Dubai",Dubai,102995,04-3930042,https://www.yellowpages-uae.com/al-majas-restaurant-llc-175225.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Malaki Rajasthan Restaurant,"Near Wafa Supermarket, National Paint, Sharjah",Sharjah,25648,06-5340441,https://www.yellowpages-uae.com/al-malaki-rajasthan-restaurant-147202.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Mallas,"Jumeirah St, Umm Suqeim 2, Dubai",Dubai,,800-625527,https://www.yellowpages-uae.com/al-mallas-148174.html,https://media.yellowpages-uae.com/images/placeholder.png
Al Manbar Cafeteria,"Near Fire Station, Muwaileh, Sharjah",Sharjah,,06-5356919,https://www.yellowpages-uae.com/al-manbar-cafeteria-147103.html,https://media.yellowpages-uae.com/images/placeholder.png
Common Grounds,"Dubai Marina, Dubai",Dubai,,050-4781094,https://www.yellowpages-uae.com/common-grounds-175751.html,https://media.yellowpages-uae.com/images/placeholder.png
Comptoir 102,"Jumeirah Beach Road, Dubai",Dubai,,04-3854555,https://www.yellowpages-uae.com/comptoir-102-175752.html,https://media.yellowpages-uae.com/images/placeholder.png
Cook Hall,"Al Habtoor City, Dubai",Dubai,,04-4373333,https://www.yellowpages-uae.com/cook-hall-175823.html,https://media.yellowpages-uae.com/images/placeholder.png
Coopers Restaurant,"Park Rotana, Al Matar, Abu Dhabi",Abu Dhabi,,02-6573333,https://www.yellowpages-uae.com/coopers-restaurant-175687.html,https://media.yellowpages-uae.com/images/placeholder.png
Corner Cafe,"X2 Tower, Ground Floor, Dubai",Dubai,,04-4564984,https://www.yellowpages-uae.com/corner-cafe-175302.html,https://media.yellowpages-uae.com/images/placeholder.png
Countryside,"Fakhruddin Executive Building, International City, Dubai",Dubai,,800-2686879,https://www.yellowpages-uae.com/countryside-67368.html,https://media.yellowpages-uae.com/images/placeholder.png
Couqley,"Laguna Tower, JLT, Dubai",Dubai,,04-5149339,https://www.yellowpages-uae.com/couqley-175824.html,https://media.yellowpages-uae.com/images/placeholder.png
Coya,,,,04-3169600,https://www.yellowpages-uae.com/coya-175688.html,https://media.yellowpages-uae.com/images/placeholder.png
Creek Restaurant,"Al Nahda, Sharjah",Sharjah,,06-5365466,https://www.yellowpages-uae.com/creek-restaurant-151064.html,https://media.yellowpages-uae.com/images/placeholder.png
CuiScene,"Farimont Bab Al Bahr, Abu Dhabi",Abu Dhabi,,02-6543238,https://www.yellowpages-uae.com/cuiscene-175690.html,https://media.yellowpages-uae.com/images/placeholder.png
Culinary Boutique,"Jumeirah 1, Dubai",Dubai,,04-3450023,https://www.yellowpages-uae.com/culinary-boutique-175825.html,https://media.yellowpages-uae.com/images/placeholder.png
Curry Express,"Ramla Mall Food Court, DIP, Jebel Ali",Jebel Ali,,04-8847868,https://www.yellowpages-uae.com/curry-express-147106.html,https://media.yellowpages-uae.com/images/placeholder.png
"Curry House, The","Electra St, Abu Dhabi",Abu Dhabi,44251,02-6328860,https://www.yellowpages-uae.com/curry-house-the-130534.html,https://media.yellowpages-uae.com/images/placeholder.png
Curry Leaf,"Al Mussalla Tower, Bur Dubai, Dubai",Dubai,,04-3978940,https://www.yellowpages-uae.com/curry-leaf-67689.html,https://media.yellowpages-uae.com/images/placeholder.png
Curry Toast,"opposite BurJuman Centre, Bur Dubai, Dubai",Dubai,,04-3547477,https://www.yellowpages-uae.com/curry-toast-67374.html,https://media.yellowpages-uae.com/images/placeholder.png
D Bar & Grill,"Dubai World Trade Centre, Dubai",Dubai,,050-7240471,https://www.yellowpages-uae.com/d-bar-grill-175826.html,https://media.yellowpages-uae.com/images/placeholder.png
Dai Pai Dong,,,,02-8135552,https://www.yellowpages-uae.com/dai-pai-dong-175691.html,https://media.yellowpages-uae.com/images/placeholder.png
Dai Shi Dai,"Murjan 1, Jumeirah Beach Residence, Dubai",Dubai,,04-4270268,https://www.yellowpages-uae.com/dai-shi-dai-67690.html,https://media.yellowpages-uae.com/images/placeholder.png
Daily Restaurant,"Qusais, Dubai",Dubai,32645,04-2673708,https://www.yellowpages-uae.com/daily-restaurant-119209.html,https://media.yellowpages-uae.com/images/placeholder.png
Dakshin,"Lotus Hotel, Opp Al Ghurair City, Dubai",Dubai,,04-2278888,https://www.yellowpages-uae.com/dakshin-67691.html,https://media.yellowpages-uae.com/images/placeholder.png
Memsaab Restaurant,"JLT, Dubai",Dubai,,04-4429816,https://www.yellowpages-uae.com/memsaab-restaurant-175767.html,https://media.yellowpages-uae.com/images/placeholder.png
Meshmesh Pizzeria,,,,02-6765478,https://www.yellowpages-uae.com/meshmesh-pizzeria-175499.html,https://media.yellowpages-uae.com/images/placeholder.png
Mezbaan Hyderabad Restaurant,"Bur Dubai, Dubai",Dubai,45076,04-3517863,https://www.yellowpages-uae.com/mezbaan-hyderabad-restaurant-106308.html,https://media.yellowpages-uae.com/images/placeholder.png
Mezlai,"Emirates Palace Hotel, Ras Al Akhdar, Abu Dhabi",Abu Dhabi,,02-6909000,https://www.yellowpages-uae.com/mezlai-175710.html,https://media.yellowpages-uae.com/images/placeholder.png
Mezzaluna,"Emirates Palace, Al Ras Al Akhdar, Abu Dhabi",Abu Dhabi,,02-6907999,https://www.yellowpages-uae.com/mezzaluna-175738.html,https://media.yellowpages-uae.com/images/placeholder.png
Mini Chinese Restaurant,"Al Diyafa St, Satwa, Dubai",Dubai,1038,04-3459976,https://www.yellowpages-uae.com/mini-chinese-restaurant-105465.html,https://media.yellowpages-uae.com/images/placeholder.png
Mini Punjab Restaurant,"Bhnd Natl Bank of Dubai, Al Fahidi St, Bur Dubai, Dubai",Dubai,184341,04-3515436,https://www.yellowpages-uae.com/mini-punjab-restaurant-135912.html,https://media.yellowpages-uae.com/images/placeholder.png
Mint and Olive Restaurant,"Discovery Gardens, Dubai",Dubai,487497,04-4409844,https://www.yellowpages-uae.com/mint-and-olive-restaurant-147253.html,https://media.yellowpages-uae.com/images/placeholder.png
Mir Amin Lebanese Cuisine,"Jumeirah, Dubai",Dubai,500069,04-3449921,https://www.yellowpages-uae.com/mir-amin-lebanese-cuisine-132668.html,https://media.yellowpages-uae.com/images/placeholder.png
Mobeen Restaurant,"Hatta Rd, Aweer, Dubai",Dubai,60680,04-2870393,https://www.yellowpages-uae.com/mobeen-restaurant-120111.html,https://media.yellowpages-uae.com/images/placeholder.png
Modern Food Care Restaurant LLC,"Khalidiya, Abu Dhabi",Abu Dhabi,,02-6395544,https://www.yellowpages-uae.com/modern-food-care-restaurant-llc-147965.html,https://media.yellowpages-uae.com/images/placeholder.png
Modern Restaurant,"New West Accommodation Area, Jafza, Dubai",Dubai,,04-8838822,https://www.yellowpages-uae.com/modern-restaurant-148354.html,https://media.yellowpages-uae.com/images/placeholder.png
Mohini Restaurant,,,,02-6760240,https://www.yellowpages-uae.com/mohini-restaurant-175517.html,https://media.yellowpages-uae.com/images/placeholder.png
Momento Cafe Restaurant and Catering,"Abu Dhabi Mall, Abu Dhabi",Abu Dhabi,52203,02-6760444,https://www.yellowpages-uae.com/momento-cafe-restaurant-and-catering-108152.html,https://media.yellowpages-uae.com/images/placeholder.png
Momos Magic,"Level 3, Oasis Centre, Dubai",Dubai,,055-8028677,https://www.yellowpages-uae.com/momos-magic-175564.html,https://media.yellowpages-uae.com/images/placeholder.png
Mono Restaurant & Cafe,,,,02-6416655,https://www.yellowpages-uae.com/mono-restaurant-cafe-147220.html,https://media.yellowpages-uae.com/images/placeholder.png
Moonlight Restaurant,"Opp Islamic Bank, Mumtazar Rd, Ras Al Khaimah",Ras Al Khaimah,5748,07-2282336,https://www.yellowpages-uae.com/moonlight-restaurant-113514.html,https://media.yellowpages-uae.com/images/placeholder.png
Moshi,"Al Barsha 1, Dubai",Dubai,,04-3999650,https://www.yellowpages-uae.com/moshi-175354.html,https://media.yellowpages-uae.com/images/placeholder.png
Moti Mahal Delux Restaurant,,,,02-6742121,https://www.yellowpages-uae.com/moti-mahal-delux-restaurant-146540.html,https://media.yellowpages-uae.com/images/placeholder.png
Moulay Youssef Restaurant,"Jumeirah, Dubai",Dubai,,04-3282285,https://www.yellowpages-uae.com/moulay-youssef-restaurant-148310.html,https://media.yellowpages-uae.com/images/placeholder.png
Troyka - Ascot Hotel,"5th Flr, Burjuman Centre, Bur Dubai, Dubai",Dubai,52555,04-3520900,https://www.yellowpages-uae.com/troyka-ascot-hotel-62627.html,https://media.yellowpages-uae.com/images/placeholder.png
Tub Of Butter,"Al Manara, Shk Zayed Road, Dubai",Dubai,,04-3438884,https://www.yellowpages-uae.com/tub-of-butter-175634.html,https://media.yellowpages-uae.com/images/placeholder.png
Turath Al Mandi,"503, Jumeirah Beach Rd, Jumeirah 3, Dubai",Dubai,74804,04-3953555,https://www.yellowpages-uae.com/turath-al-mandi-102640.html,https://media.yellowpages-uae.com/images/placeholder.png
Turquoiz,"Saadiyat Island, Abu Dhabi",Abu Dhabi,,02-4988888,https://www.yellowpages-uae.com/turquoiz-175729.html,https://media.yellowpages-uae.com/images/placeholder.png
Tutti Frutti Restaurant,"Al Wasit St, Sharjah",Sharjah,,06-5668555,https://www.yellowpages-uae.com/tutti-frutti-restaurant-111389.html,https://media.yellowpages-uae.com/images/placeholder.png
UBK Cafe,"Movenpick, JLT, Dubai",Dubai,,04-4380000,https://www.yellowpages-uae.com/ubk-cafe-175787.html,https://media.yellowpages-uae.com/images/placeholder.png
Udupi Sagar Restaurant,"Near Astoria Hotel, Meena Bazar, Bur Dubai, Dubai",Dubai,122426,04-3799442,https://www.yellowpages-uae.com/udupi-sagar-restaurant-175578.html,https://media.yellowpages-uae.com/images/placeholder.png
Ultra Brasserie,"Dubai Marina, Dubai",Dubai,,04-2775644,https://www.yellowpages-uae.com/ultra-brasserie-175788.html,https://media.yellowpages-uae.com/images/placeholder.png
Union Restaurant,"Near Emirates Petrol Station, Launch R/A, Ras Al Khaimah",Ras Al Khaimah,401,07-2331389,https://www.yellowpages-uae.com/union-restaurant-138741.html,https://media.yellowpages-uae.com/images/placeholder.png
Unique Restaurant,"Murabba R/A, Al Ain",Al Ain,16913,03-7668188,https://www.yellowpages-uae.com/unique-restaurant-123685.html,https://media.yellowpages-uae.com/images/placeholder.png
UNO Pizzeria & Grill,"Deira City Centre, Dubai",Dubai,,8008667,https://www.yellowpages-uae.com/uno-pizzeria-grill-175536.html,https://media.yellowpages-uae.com/images/placeholder.png
Uptown Pizza,"Jumeirah, Dubai",Dubai,79401,04-3483487,https://www.yellowpages-uae.com/uptown-pizza-147662.html,https://media.yellowpages-uae.com/images/placeholder.png
Urban Bistro,"CNN Building, Media City, Dubai",Dubai,,04-3624330,https://www.yellowpages-uae.com/urban-bistro-175789.html,https://media.yellowpages-uae.com/images/placeholder.png
Urban Seafood,"The Outlet Village, Dubai",Dubai,,800 7527,https://www.yellowpages-uae.com/urban-seafood-175563.html,https://media.yellowpages-uae.com/images/placeholder.png
Ushna Restaurant,"Souk Al Qaryat Al Beri, Abu Dhabi",Abu Dhabi,,02-5581769,https://www.yellowpages-uae.com/ushna-restaurant-175730.html,https://media.yellowpages-uae.com/images/placeholder.png
Vadakkan Pepper Restaurant,"Owais Bldg, Abu Shagara, Sharjah",Sharjah,,06-5445225,https://www.yellowpages-uae.com/vadakkan-pepper-restaurant-175360.html,https://media.yellowpages-uae.com/images/placeholder.png
Vaishali Restaurant LLC,"Deira, Dubai",Dubai,65214,04-2243839,https://www.yellowpages-uae.com/vaishali-restaurant-llc-145821.html,https://media.yellowpages-uae.com/images/placeholder.png
Variety Food Restaurant and Catering,"New Sanaiya, Ajman",Ajman,14113,06-7481012,https://www.yellowpages-uae.com/variety-food-restaurant-and-catering-121526.html,https://media.yellowpages-uae.com/images/placeholder.png
Vasanta Bhavan Restaurant,"Bur Dubai, Dubai",Dubai,51311,04-3934873,https://www.yellowpages-uae.com/vasanta-bhavan-restaurant-114932.html,https://media.yellowpages-uae.com/images/placeholder.png
Vasanta Vegetarian Bhavan Restaurant,"Al Nahda, Dubai",Dubai,,04-2391177,https://www.yellowpages-uae.com/vasanta-vegetarian-bhavan-restaurant-175203.html,https://media.yellowpages-uae.com/images/placeholder.png
Ritaj Restaurant,"Electra St, Abu Dhabi",Abu Dhabi,27034,02-6310036,https://www.yellowpages-uae.com/ritaj-restaurant-146543.html,https://media.yellowpages-uae.com/images/placeholder.png
Rite Bite,"Opp Day to Day, Near Post Office, Karama, Dubai",Dubai,,04-3576306,https://www.yellowpages-uae.com/rite-bite-68552.html,https://media.yellowpages-uae.com/images/placeholder.png
Riviera Italian Restaurant,"Al Bateen, Abu Dhabi",Abu Dhabi,44044,02-6650144,https://www.yellowpages-uae.com/riviera-italian-restaurant-118055.html,https://media.yellowpages-uae.com/images/placeholder.png
Robertos,,,,04-3860066,https://www.yellowpages-uae.com/robertos-175646.html,https://media.yellowpages-uae.com/images/placeholder.png
Robyan Restaurant,"Bhnd Al Mamzar Bldg, Hor Al Anz East, Deira, Dubai",Dubai,16515,04-2977474,https://www.yellowpages-uae.com/robyan-restaurant-175205.html,https://media.yellowpages-uae.com/images/placeholder.png
Rock Bottom - Regent Palace Hotel,"Opp Burjuman Centre, Trade Centre Rd, Karama, Dubai",Dubai,26816,04-3963888,https://www.yellowpages-uae.com/rock-bottom-regent-palace-hotel-113971.html,https://media.yellowpages-uae.com/images/placeholder.png
Rodeo Grill,"Beach Rotana, Al Zahiyah, Abu Dhabi",Abu Dhabi,,02-6979012,https://www.yellowpages-uae.com/rodeo-grill-175622.html,https://media.yellowpages-uae.com/images/placeholder.png
Ronda Locatelli,"Crescent Rd, Palm Jumeirah, Dubai",Dubai,211188,04-4262626,https://www.yellowpages-uae.com/ronda-locatelli-125572.html,https://media.yellowpages-uae.com/images/placeholder.png
Rosewater,"Jumeirah Al Etihad Towers, Al Khubeirah, Abu Dhabi",Abu Dhabi,,02-8115555,https://www.yellowpages-uae.com/rosewater-175718.html,https://media.yellowpages-uae.com/images/placeholder.png
Rosina Bellina Restaurant,"Corniche Road, Abu Dhabi",Abu Dhabi,,02-6390587,https://www.yellowpages-uae.com/rosina-bellina-restaurant-168560.html,https://media.yellowpages-uae.com/images/placeholder.png
Rossovivo,"Millenium Tower, Shk Zayed Road, Dubai",Dubai,,04-3805833,https://www.yellowpages-uae.com/rossovivo-175774.html,https://media.yellowpages-uae.com/images/placeholder.png
Royal Foods Restaurant,"Grand Shopping Mall, Al Quoz, Dubai",Dubai,33716,04-3388977,https://www.yellowpages-uae.com/royal-foods-restaurant-144433.html,https://media.yellowpages-uae.com/images/placeholder.png
Royal Kebab Restaurant,"Shop 2, Lake Central Tower, Fakhruddin Properties, Business Bay, Dubai",Dubai,282947,04-2753096,https://www.yellowpages-uae.com/royal-kebab-restaurant-153684.html,https://media.yellowpages-uae.com/images/placeholder.png
